date,symbol,name,instrument_type,action,strategy,score,score_details,price,entry,stop,target,reward_risk,qty,notional,estimated_round_trip_cost,reason
2026-05-02,NESN.SW,Nestle,stock,WATCH,trend_pullback_setup,70.0,"radar pullback, distanza SMA20 2.68%",79.05,,,,,0,0.0,0.0,Setup pullback in formazione: trend primario positivo e prezzo tornato in zona utile; attendere recupero sopra SMA20.
2026-05-02,NOVN.SW,Novartis,stock,WATCH,trend_pullback_setup,70.0,"radar pullback, distanza SMA20 -1.96%",115.9,,,,,0,0.0,0.0,Setup pullback in formazione: trend primario positivo e prezzo tornato in zona utile; attendere recupero sopra SMA20.
2026-05-02,ROG.SW,Roche,stock,WATCH,trend_pullback,80.4,"strategia +8.0, trend +9.3, R/R +0.0, RSI +5.0, rischio +8.0, volumi +0.2, universo +0.0, costi +0.0",318.4,318.4,308.1603,338.8794,2.0,0,0.0,0.0,"Trend primario positivo, recente pullback verso medie brevi/intermedie, recupero sopra SMA20 e RSI in area non eccessivamente tirata. Segnale non eseguito in paper: capitale/size non sufficiente con i limiti attuali."
2026-05-02,ENEL.MI,Enel,stock,WATCH,trend_pullback,97.1,"strategia +8.0, trend +12.7, R/R +0.0, RSI +10.0, rischio +8.0, volumi -1.6, universo +0.0, costi -15.0; opportunita +22.0, decisione GO, grado A; fondamentali +3.0",9.924,9.924,9.6134,10.5452,2.0,7,69.47,3.0,"Trend primario positivo, recente pullback verso medie brevi/intermedie, recupero sopra SMA20 e RSI in area non eccessivamente tirata. Momento propizio: checklist A, score opportunità 94.1. Fondamentali: healthy (67.4/100, fondamentali sani). Segnale non eseguito in paper: Limite posizioni aperte raggiunto: 2/2."
2026-05-02,ENI.MI,Eni,stock,WATCH,trend_pullback,93.6,"strategia +8.0, trend +18.0, R/R +0.0, RSI +10.0, rischio +2.0, volumi -0.4, universo +0.0, costi -15.0; opportunita +21.0, decisione GO, grado A",24.0,24.0,22.2,27.6,2.0,3,72.0,3.0,"Trend primario positivo, recente pullback verso medie brevi/intermedie, recupero sopra SMA20 e RSI in area non eccessivamente tirata. Momento propizio: checklist A, score opportunità 93.6. Fondamentali: mixed (52.0/100, fondamentali misti, senza vantaggio chiaro). Segnale non eseguito in paper: Limite posizioni aperte raggiunto: 2/2."
2026-05-02,ISP.MI,Intesa Sanpaolo,stock,WATCH,trend_pullback,94.4,"strategia +8.0, trend +2.6, R/R +0.0, RSI +10.0, rischio +8.0, volumi -0.2, universo +0.0, costi -15.0; opportunita +25.0, decisione GO, grado A; fondamentali +6.0",5.775,5.775,5.568,6.189,2.0,13,75.08,3.0,"Trend primario positivo, recente pullback verso medie brevi/intermedie, recupero sopra SMA20 e RSI in area non eccessivamente tirata. Momento propizio: checklist A, score opportunità 88.4. Fondamentali: strong (77.6/100, qualita fondamentale forte). Segnale non eseguito in paper: Limite posizioni aperte raggiunto: 2/2."
2026-05-02,UCG.MI,UniCredit,stock,WATCH,trend_pullback_setup,70.0,"radar pullback, distanza SMA20 -0.17%",65.62,,,,,0,0.0,0.0,Setup pullback in formazione: trend primario positivo e prezzo tornato in zona utile; attendere recupero sopra SMA20.
2026-05-02,G.MI,Assicurazioni Generali,stock,WATCH,trend_pullback,78.9,"strategia +8.0, trend +7.4, R/R +0.0, RSI +5.0, rischio +8.0, volumi -2.5, universo +0.0, costi -15.0; opportunita +12.0, decisione GO, grado B; fondamentali +6.0",38.1,38.1,37.0491,40.2018,2.0,2,76.2,3.0,"Trend primario positivo, recente pullback verso medie brevi/intermedie, recupero sopra SMA20 e RSI in area non eccessivamente tirata. Momento propizio: checklist B, score opportunità 72.9. Fondamentali: strong (72.4/100, qualita fondamentale forte). Segnale non eseguito in paper: Limite posizioni aperte raggiunto: 2/2."
2026-05-02,PRY.MI,Prysmian,stock,WATCH,near_breakout_setup,78.0,"radar breakout, distanza livello -0.04%, volume x1.85",127.95,,,,,0,0.0,0.0,Setup breakout in avvicinamento: prezzo vicino al massimo recente; attendere chiusura sopra livello con volumi adeguati.
2026-05-02,TRN.MI,Terna,stock,WATCH,trend_pullback,100.0,"strategia +8.0, trend +11.2, R/R +0.0, RSI +10.0, rischio +8.0, volumi +1.0, universo +0.0, costi -15.0; opportunita +25.0, decisione GO, grado A; fondamentali +3.0",10.25,10.25,9.97,10.81,2.0,7,71.75,3.0,"Trend primario positivo, recente pullback verso medie brevi/intermedie, recupero sopra SMA20 e RSI in area non eccessivamente tirata. Momento propizio: checklist A, score opportunità 98.1. Fondamentali: healthy (61.9/100, fondamentali sani). Segnale non eseguito in paper: Limite posizioni aperte raggiunto: 2/2."
2026-05-02,PST.MI,Poste Italiane,stock,WATCH,trend_pullback,91.4,"strategia +8.0, trend +6.7, R/R +0.0, RSI +10.0, rischio +8.0, volumi +1.7, universo +0.0, costi -15.0; opportunita +19.0, decisione GO, grado A; fondamentali +3.0",22.59,22.59,21.95,23.87,2.0,3,67.77,3.0,"Trend primario positivo, recente pullback verso medie brevi/intermedie, recupero sopra SMA20 e RSI in area non eccessivamente tirata. Momento propizio: checklist A, score opportunità 88.4. Fondamentali: healthy (65.2/100, fondamentali sani). Segnale non eseguito in paper: Limite posizioni aperte raggiunto: 2/2."
2026-05-02,PST.MI,Poste Italiane,stock,WATCH,controlled_breakout,99.4,"strategia +10.0, trend +6.7, R/R +0.0, RSI +10.0, rischio +8.0, volumi +1.7, universo +0.0, costi -15.0; opportunita +25.0, decisione GO, grado A; fondamentali +3.0",22.59,22.59,22.1202,23.5296,2.0,3,67.77,3.0,"Breakout sopra massimo recente in trend primario positivo, con volume superiore alla media e RSI sotto soglia estrema. Momento propizio: checklist A, score opportunità 96.4. Fondamentali: healthy (65.2/100, fondamentali sani). Segnale non eseguito in paper: Limite posizioni aperte raggiunto: 2/2."
2026-05-02,CPR.MI,Campari,stock,WATCH,trend_pullback_setup,70.0,"radar pullback, distanza SMA20 -0.89%",6.3,,,,,0,0.0,0.0,Setup pullback in formazione: trend primario positivo e prezzo tornato in zona utile; attendere recupero sopra SMA20.
2026-05-03,SWDA.MI,iShares Core MSCI World UCITS ETF,etf,WATCH,near_breakout_setup,70.4,"radar breakout, distanza livello 0.13%, volume x1.04",117.07,,,,,0.0,0.0,0.0,Setup breakout in avvicinamento: prezzo vicino al massimo recente; attendere chiusura sopra livello con volumi adeguati.
2026-05-03,CSSPX.MI,iShares Core S&P 500 UCITS ETF,etf,WATCH,near_breakout_setup,68.2,"radar breakout, distanza livello 0.26%, volume x0.82",656.99,,,,,0.0,0.0,0.0,Setup breakout in avvicinamento: prezzo vicino al massimo recente; attendere chiusura sopra livello con volumi adeguati.
2026-05-03,EQQQ.MI,Invesco EQQQ Nasdaq-100 UCITS ETF,etf,WATCH,near_breakout_setup,66.0,"radar breakout, distanza livello 0.16%, volume x0.45",568.57,,,,,0.0,0.0,0.0,Setup breakout in avvicinamento: prezzo vicino al massimo recente; attendere chiusura sopra livello con volumi adeguati.
2026-05-03,EIMI.MI,iShares Core MSCI Emerging Markets IMI UCITS ETF,etf,WATCH,near_breakout_setup,66.0,"radar breakout, distanza livello 0.67%, volume x0.58",44.295,,,,,0.0,0.0,0.0,Setup breakout in avvicinamento: prezzo vicino al massimo recente; attendere chiusura sopra livello con volumi adeguati.
2026-05-03,NVDA,NVIDIA,stock,WATCH,trend_pullback_setup,70.0,"radar pullback, distanza SMA20 0.62%",198.45,,,,,0.0,0.0,0.0,Setup pullback in formazione: trend primario positivo e prezzo tornato in zona utile; attendere recupero sopra SMA20.
2026-05-03,AAPL,Apple,stock,WATCH,trend_pullback,66.3,"strategia +8.0, trend +5.8, R/R +0.0, RSI +5.0, rischio +8.0, volumi +7.4, universo +4.0, costi -15.0; forza relativa -8.0 (-5.16% vs EQQQ.MI); opportunita +1.0, decisione NO_GO, grado C",280.14,280.14,265.07,310.28,2.0,0.333173,79.61,2.0,"Trend primario positivo, recente pullback verso medie brevi/intermedie, recupero sopra SMA20 e RSI in area non eccessivamente tirata. Forza relativa debole: -5.16% rispetto a EQQQ.MI. Momento non propizio: prezzo troppo distante dalla SMA20, costi troppo pesanti."
2026-05-03,AAPL,Apple,stock,WATCH,controlled_breakout,88.3,"strategia +10.0, trend +5.8, R/R +0.0, RSI +5.0, rischio +8.0, volumi +7.4, universo +4.0, costi -15.0; forza relativa -8.0 (-5.16% vs EQQQ.MI); opportunita +21.0, decisione NO_GO, grado A",280.14,280.14,269.3991,301.6218,2.0,0.333173,79.61,2.0,"Breakout sopra massimo recente in trend primario positivo, con volume superiore alla media e RSI sotto soglia estrema. Forza relativa debole: -5.16% rispetto a EQQQ.MI. Momento non propizio: costi troppo pesanti."
2026-05-03,GOOGL,Alphabet,stock,WATCH,near_breakout_setup,57.2,"radar breakout, distanza livello 0.04%, volume x1.12",385.69,,,,,0.0,0.0,0.0,Setup breakout in avvicinamento: prezzo vicino al massimo recente; attendere chiusura sopra livello con volumi adeguati.
2026-05-03,COST,Costco,stock,WATCH,trend_pullback_setup,70.0,"radar pullback, distanza SMA20 0.96%",1011.7,,,,,0.0,0.0,0.0,Setup pullback in formazione: trend primario positivo e prezzo tornato in zona utile; attendere recupero sopra SMA20.
2026-05-03,WMT,Walmart,stock,WATCH,trend_pullback_setup,70.0,"radar pullback, distanza SMA20 3.00%",131.6,,,,,0.0,0.0,0.0,Setup pullback in formazione: trend primario positivo e prezzo tornato in zona utile; attendere recupero sopra SMA20.
2026-05-03,WMT,Walmart,stock,WATCH,near_breakout_setup,66.3,"radar breakout, distanza livello 0.65%, volume x0.63",131.6,,,,,0.0,0.0,0.0,Setup breakout in avvicinamento: prezzo vicino al massimo recente; attendere chiusura sopra livello con volumi adeguati.
2026-05-03,LLY,Eli Lilly,stock,WATCH,trend_pullback,37.9,"strategia +8.0, trend +5.0, R/R +0.0, RSI +10.0, rischio -8.0, volumi +3.9, universo +2.0, costi -15.0; forza relativa -8.0 (-16.53% vs CSSPX.MI); opportunita -10.0, decisione NO_GO, grado D",963.33,963.33,850.51,1188.97,2.0,0.096888,79.61,2.0,"Trend primario positivo, recente pullback verso medie brevi/intermedie, recupero sopra SMA20 e RSI in area non eccessivamente tirata. Forza relativa debole: -16.53% rispetto a CSSPX.MI. Momento non propizio: prezzo troppo distante dalla SMA20, distanza stop non efficiente, costi troppo pesanti."
2026-05-03,CAT,Caterpillar,stock,WATCH,near_breakout_setup,56.3,"radar breakout, distanza livello 0.82%, volume x1.03",889.67,,,,,0.0,0.0,0.0,Setup breakout in avvicinamento: prezzo vicino al massimo recente; attendere chiusura sopra livello con volumi adeguati.
